"timestamp","material_code","issue","delay_days","days_remaining","affected_orders","backup_vendor","risk_level","suggested_action","approval_required","status"
"2026-04-16","M043","供應商交期異常","13","9","PO-069","Prime Circuit","medium","建議確認替代供應商 Prime Circuit，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-15","M048","供應商交期異常","16","11","PO-071","FutureLink","high","建議確認替代供應商 FutureLink，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-14","AB123","供應商交期異常","1","1","PO-073","Ace Components","low","建議確認替代供應商 Ace Components，並同步通知相關單位。","no","open"
"2026-04-13","LM303","供應商交期異常","4","3","PO-075","Reliable Parts","medium","建議確認替代供應商 Reliable Parts，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-12","M003","供應商交期異常","7","5","PO-077","Omega Supply","high","建議確認替代供應商 Omega Supply，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-11","M008","供應商交期異常","10","7","PO-079","SmartCore","low","建議確認替代供應商 SmartCore，並同步通知相關單位。","no","open"
"2026-04-10","M013","供應商交期異常","13","9","PO-081","XYZ Electronics","medium","建議確認替代供應商 XYZ Electronics，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-09","M018","供應商交期異常","16","11","PO-083","FastChip Ltd.","high","建議確認替代供應商 FastChip Ltd.，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-08","M023","供應商交期異常","1","1","PO-085","SafeParts Inc.","low","建議確認替代供應商 SafeParts Inc.，並同步通知相關單位。","no","open"
"2026-04-07","M028","供應商交期異常","4","3","PO-087","CoreSupply","medium","建議確認替代供應商 CoreSupply，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-06","M033","供應商交期異常","7","5","PO-089","PowerLink","high","建議確認替代供應商 PowerLink，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-05","M038","供應商交期異常","10","7","PO-091","MegaParts","low","建議確認替代供應商 MegaParts，並同步通知相關單位。","no","open"
"2026-04-04","M043","供應商交期異常","13","9","PO-093","BoardKing","medium","建議確認替代供應商 BoardKing，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-04-03","M048","供應商交期異常","16","11","PO-095","CoolWind","high","建議確認替代供應商 CoolWind，並同步通知相關單位。","yes: procurement_director","closed"
"2026-04-02","AB123","供應商交期異常","1","1","PO-097","EastBridge Components","low","建議確認替代供應商 EastBridge Components，並同步通知相關單位。","no","open"
"2026-04-01","LM303","供應商交期異常","4","3","PO-099","Union Semi","medium","建議確認替代供應商 Union Semi，並同步通知相關單位。","yes: procurement_manager","reviewing"
"2026-03-31","M003","供應商交期異常","7","5","PO-101","BrightSource","high","建議確認替代供應商 BrightSource，並同步通知相關單位。","yes: procurement_director","closed"
"2026/5/18 下午 2:20:03","AB123","供應商延遲 14 天；庫存僅剩 1 天且低於安全庫存，影響 2 張高優先級訂單","14","","","","","","","open"
"2026/8/21 上午 7:01:24","AB123","供應商通知延後兩週","14","1","PO-060, PO-120","CoreSupply","high","目前庫存可支撐約 1 天；供應商延遲 14 天。受影響訂單共 2 筆。建議優先洽詢替代供應商 CoreSupply，交期 3 天，價格增加 5%。此案為高風險，建議立即通知採購主管與生產主管。簽核需求：yes: procurement_director。","yes: procurement_director","open"
"2026/8/21 下午 3:56:55","M010","來料延遲20天","20","8","PO-011, PO-071","XYZ Electronics","medium","目前庫存可支撐約 8 天；供應商延遲 20 天。受影響訂單共 2 筆。建議優先洽詢替代供應商 XYZ Electronics，交期 10 天，價格增加 6%。此案為中風險，建議於 24 小時內完成替代供應評估。簽核需求：yes: procurement_manager。","yes: procurement_manager","open"
