編號,日期,平台,來源頁面,帳號,星等,評論內容,處理狀態,備註
R016,2026-09-17,PTT,Lifeismoney,buybuy_tw,,雙 11 前一週才買 D12，今天官網就打八折，很傻眼。有沒有價差補？,已判讀,負·中·價格；價差補償無政策 → 黃經理本週決定
R017,2026-09-18,Google,台中公益門市,u**,1,爛,不處理,疑似刷評（9/18 同日三則）→ 黃經理決定是否檢舉
R018,2026-09-18,Google,台中公益門市,q**,1,爛透了,不處理,疑似刷評（同 R017）
R019,2026-09-18,Google,台中公益門市,z**,1,不推,不處理,疑似刷評（同 R017）
R020,2026-09-18,FB,沐光家電粉專,Peggy Wu,,打客服電話等了二十分鐘，接起來態度很差，講兩句就想掛。,草稿待發,負·高·客服（態度）→ 陳姐當日
R021,2026-09-18,Dcard,租屋板,匿名,,【心得】租屋族除濕實測：沐光 D12 用兩個月，濕度從 78 降到 55，附一週數據圖。,草稿待發,正·好評 UGC；轉發前先私訊徵求同意
R022,2026-09-18,FB,沐光家電粉專,Amy Liu,,已經跟消保官申訴了，也聯絡了記者朋友。你們不回我就等著看。,草稿待發,負·高·安全（消保官＋媒體）併 R008；→ 黃經理＋陳姐當日
R023,2026-09-19,蝦皮,沐光官方商城,m***2,5,五星是給物流，機器本身第二天就不會轉了。,草稿待發,負·中·產品故障
R024,2026-09-19,Google,台北信義門市,Mark T.,4,"Great dehumidifier, very quiet. Shipping was slow though (9 days).",草稿待發,正·出貨物流；英文回
R025,2026-09-19,Dcard,家電板,匿名,,空氣清淨機放窗邊、窗戶開著開整天，數值都沒變，是不是壞了？,草稿待發,中·使用教學
R026,2026-09-19,FB,沐光家電粉專,Jason Lin,,APP 連不上 wifi，設定好幾次都失敗。,草稿待發,負·低·APP（同 R002 型）
R027,2026-09-19,PTT,e-shopping,cooldog77,,沐光除濕機真的很棒，買三個月壞兩次，棒到我想哭 👍,不處理,重複 R006
R028,2026-09-20,FB,沐光家電粉專,Grace Ho,,😡😡😡,草稿待發,負·嚴重度待釐清；私訊詢問中
R029,2026-09-20,Google,台北信義門市,李**,3,D8 的遙控器壞了，哪裡買得到？門市說停產了。,草稿待發,中·停產零件；門市話術要更正
R030,2026-09-20,FB,沐光家電粉專,Tina Chang,,我們公司想團購 20 台 A3，有窗口嗎？,草稿待發,中·銷售線索 → 周經理兩個工作天
R031,2026-09-20,Dcard,家電板,匿名,,【開箱】沐光 V2 無線吸塵器，寵物毛真的吸得起來，續航實測 38 分鐘。,草稿待發,正·好評 UGC；轉發前先私訊徵求同意
R032,2026-09-20,蝦皮,沐光官方商城,h***5,2,跟照片顏色不一樣，實品比較暗。,草稿待發,負·中·外觀不符
R033,2026-09-21,Google,台北信義門市,黃**,5,除濕機 CP 值高，客服也有耐心。,草稿待發,正·客服
R034,2026-09-21,PTT,e-shopping,rainyday88,,D12 水箱感應器有人更新韌體後就正常了嗎？我的還是會滿了不停。,已判讀,中·產品故障（韌體詢問）PTT 僅記錄；是否公告 → 黃經理
R035,2026-09-21,FB,沐光家電粉專,Amy Liu,,三天了，沒有人打電話給我。,草稿待發,負·高·安全（三天未電聯）併 R008；→ 陳姐當日
R036,2026-09-21,Dcard,家電板,匿名,,A3 用了半年，濾網指示燈亮了，官網訂閱制到底划不划算？,草稿待發,中·濾網耗材
R037,2026-09-21,蝦皮,沐光官方商城,p***1,4,整體不錯，只是說明書字太小。,草稿待發,正·說明書建議 → 轉產品部
R038,2026-09-21,Google,台中公益門市,吳**,2,門市週日五點就關，上班族根本來不及。,草稿待發,負·低·門市時間
