> 狀態：已確認 2026-09-20 19:03
會員編號,公司名稱,會員級別,年費,入帳合計,狀態,差額／多繳額,依據,逾期天數,級別
M053,允升電子股份有限公司,一般會員,6000,0,未繳,6000,無入帳,10,提醒
M054,亞信工業股份有限公司,一般會員,6000,6000,已繳,0,"TX2054 2026/06/15 6,000：公司名一致（亞信工業）",,
M055,鼎宏材料有限公司,一般會員,6000,6000,已繳,0,"TX2018 2026/05/06 6,000：公司名一致（鼎宏材料）",,
M056,泰宇材料股份有限公司,團體會員,36000,36000,已繳,0,"TX2019 2026/07/08 36,000：公司名一致（泰宇材料），名冊有 2 家同名（股份／有限），以金額＝年費區分",,
M057,高林半導體有限公司,一般會員,6000,6000,已繳,0,"TX2046 2026/03/25 6,000：公司名一致（高林半導體）",,
M058,廣達資訊有限公司,一般會員,6000,0,未繳,6000,無入帳,36,強調
M059,永茂通訊有限公司,一般會員,6000,0,未繳,6000,無入帳,20,提醒
M060,晉城機械股份有限公司,理監事,50000,50000,已繳,0,"TX2014 2026/06/29 50,000：公司名一致（晉城機械）",,
M061,宏碩醫材股份有限公司,一般會員,6000,6000,已繳,0,"TX2013 2026/06/27 6,000：公司名一致（宏碩醫材）",,
M062,昇華系統有限公司,一般會員,6000,12000,重複繳,6000,"TX2098 2026/05/11 6,000：公司名一致（昇華系統）；TX2099 2026/05/26 6,000：公司名一致（昇華系統）",,
M063,晉城自動化股份有限公司,一般會員,6000,0,未繳,6000,無入帳,36,強調
M064,亞信生技股份有限公司,一般會員,6000,6000,已繳,0,"TX2025 2026/06/02 6,000：公司名一致（亞信生技）",,
M065,鼎宏機械有限公司,一般會員,6000,6000,已繳,0,"TX2028 2026/06/29 6,000：公司名一致（鼎宏機械）",,
M066,亞信通訊有限公司,一般會員,6000,6000,已繳,0,"TX2061 2026/07/10 6,000：公司名一致（亞信通訊）",,
M067,承邦材料有限公司,一般會員,6000,6000,已繳,0,"TX2007 2026/04/27 6,000：公司名一致（承邦材料）",,
M068,益盛資訊有限公司,一般會員,6000,0,未繳,6000,無入帳,10,提醒
M069,佳合機械股份有限公司,贊助會員,20000,0,未繳,20000,無入帳,36,強調
M070,宇陽網路有限公司,一般會員,6000,6000,已繳,0,"TX2035 2026/06/16 6,000：公司名一致（宇陽網路）",,
M071,冠捷精密股份有限公司,團體會員,36000,0,未繳,36000,無入帳,20,提醒
M072,瑞光光電股份有限公司,理監事,50000,0,未繳,50000,無入帳,36,強調
M073,立勤通訊有限公司,團體會員,36000,36000,已繳,0,"TX2031 2026/02/25 36,000：公司名一致（立勤通訊）",,
M074,富崴系統有限公司,一般會員,6000,6000,已繳,0,"TX2008 2026/04/24 6,000：公司名一致（富崴系統）",,
M075,誠展通訊股份有限公司,一般會員,6000,5000,短繳,1000,"TX2073 2026/04/16 5,000：公司名一致（誠展通訊）",10,提醒
M076,冠捷通訊股份有限公司,理監事,50000,50000,已繳,0,"TX2029 2026/06/08 50,000：公司名一致（冠捷通訊）",,
M077,允升電子有限公司,一般會員,6000,0,未繳,6000,無入帳,82,警告
M078,品逸醫材有限公司,一般會員,6000,0,未繳,6000,無入帳,10,提醒
M079,允升機械有限公司,團體會員,36000,72000,重複繳,36000,"TX2092 2026/04/26 36,000：公司名一致（允升機械）；TX2093 2026/05/07 36,000：公司名一致（允升機械）",,
M080,益盛材料股份有限公司,一般會員,6000,6000,已繳,0,"TX2040 2026/06/16 6,000：公司名一致（益盛材料）",,
M081,宇陽機械有限公司,贊助會員,20000,20000,已繳,0,"TX2032 2026/05/15 20,000：公司名一致（宇陽機械）",,
M082,宏碩精密有限公司,一般會員,6000,0,未繳,6000,無入帳,51,強調
M083,瑞光網路股份有限公司,一般會員,6000,6000,已繳,0,"TX2083 2026/05/01 6,000：匯款人＝聯絡人 江欣怡＋金額＝年費",,
M084,宏碩精密股份有限公司,一般會員,6000,0,未繳,6000,無入帳,20,提醒
M085,誠展工業股份有限公司,團體會員,36000,0,未繳,36000,無入帳,82,警告
M086,昇華網路有限公司,一般會員,6000,6000,已繳,0,"TX2041 2026/06/19 6,000：公司名一致（昇華網路）",,
M087,宏碩工業有限公司,理監事,50000,50000,已繳,0,"TX2037 2026/06/15 50,000：公司名一致（宏碩工業）",,
M088,元鴻科技有限公司,一般會員,6000,6000,已繳,0,"TX2026 2026/04/29 6,000：公司名一致（元鴻科技）",,
M089,富崴工業股份有限公司,團體會員,36000,0,未繳,36000,無入帳,36,強調
M090,兆達通訊有限公司,贊助會員,20000,0,未繳,20000,無入帳,36,強調
M091,群威光電有限公司,團體會員,36000,36000,已繳,0,"TX2022 2026/06/28 36,000：公司名一致（群威光電）",,
M092,兆達系統有限公司,一般會員,6000,0,未繳,6000,無入帳,10,提醒
M093,益盛網路有限公司,一般會員,6000,6000,已繳,0,"TX2020 2026/04/30 6,000：公司名一致（益盛網路）",,
M094,兆達電子股份有限公司,贊助會員,20000,20000,已繳,0,"TX2059 2026/03/18 20,000：公司名一致（兆達電子）",,
M095,廣達科技有限公司,贊助會員,20000,0,未繳,20000,無入帳,20,提醒
M096,瑞光機械股份有限公司,理監事,50000,0,未繳,50000,無入帳,82,警告
M097,立勤醫材股份有限公司,贊助會員,20000,0,未繳,20000,無入帳,82,警告
M098,誠展生技股份有限公司,一般會員,6000,6000,已繳,0,"TX2044 2026/04/03 6,000：公司名一致（誠展生技）",,
M099,中鼎醫材股份有限公司,一般會員,6000,0,未繳,6000,無入帳,20,提醒
M100,瑞光自動化有限公司,贊助會員,20000,19500,短繳,500,"TX2067 2026/05/30 19,500：公司名一致（瑞光自動化）",82,警告
M101,宇陽生技有限公司,贊助會員,20000,19000,短繳,1000,"TX2071 2026/04/01 19,000：公司名一致（宇陽生技）",82,警告
M102,中鼎工業有限公司,贊助會員,20000,0,未繳,20000,無入帳,36,強調
M103,元鴻材料有限公司,一般會員,6000,3000,短繳,3000,"TX2075 2026/04/16 3,000：公司名一致（元鴻材料）",10,提醒
M104,永茂生技有限公司,一般會員,6000,0,未繳,6000,無入帳,217,警告
M105,世紀電子股份有限公司,贊助會員,20000,40000,重複繳,20000,"TX2100 2026/04/25 20,000：公司名一致（世紀電子）；TX2101 2026/05/08 20,000：公司名一致（世紀電子）",,
M106,東辰機械股份有限公司,一般會員,6000,6000,已繳,0,"TX2053 2026/02/27 6,000：公司名一致（東辰機械）",,
M107,銓豐電子有限公司,團體會員,36000,36000,已繳,0,"TX2021 2026/03/20 36,000：公司名一致（銓豐電子）",,
M108,承邦半導體有限公司,一般會員,6000,6000,已繳,0,"TX2011 2026/02/19 6,000：公司名一致（承邦半導體）",,
M109,泰宇自動化有限公司,一般會員,6000,12000,重複繳,6000,"TX2088 2026/06/15 6,000：公司名一致（泰宇自動化）；TX2089 2026/06/27 6,000：公司名一致（泰宇自動化）",,
M110,鼎宏資訊股份有限公司,一般會員,6000,3000,短繳,3000,"TX2066 2026/04/27 3,000：公司名一致（鼎宏資訊）",36,強調
M111,鼎宏網路股份有限公司,團體會員,36000,36000,已繳,0,"TX2085 2026/04/21 36,000：前兩字「鼎宏」＋金額＝年費（匯款人 鼎宏企業）",,
M112,廣達電子股份有限公司,一般會員,6000,6000,已繳,0,"TX2042 2026/05/28 6,000：公司名一致（廣達電子）",,
M113,廣達生技股份有限公司,一般會員,6000,6000,已繳,0,"TX2060 2026/04/20 6,000：公司名一致（廣達生技）",,
M114,宇陽材料股份有限公司,贊助會員,20000,20000,已繳,0,"TX2024 2026/06/24 20,000：公司名一致（宇陽材料）",,
M115,永茂半導體股份有限公司,一般會員,6000,12000,重複繳,6000,"TX2096 2026/06/10 6,000：公司名一致（永茂半導體）；TX2097 2026/06/25 6,000：公司名一致（永茂半導體）",,
M116,泰宇材料有限公司,一般會員,6000,6000,已繳,0,"TX2051 2026/05/23 6,000：公司名一致（泰宇材料），名冊有 2 家同名（股份／有限），以金額＝年費區分",,
M117,明峰電子股份有限公司,團體會員,36000,36000,已繳,0,"TX2017 2026/06/13 36,000：公司名一致（明峰電子）",,
M118,宏碩科技有限公司,團體會員,36000,35000,短繳,1000,"TX2069 2026/04/11 35,000：公司名一致（宏碩科技）",51,強調
M119,宏碩光電有限公司,團體會員,36000,36000,已繳,0,"TX2048 2026/04/08 36,000：公司名一致（宏碩光電）",,
M120,群威電子有限公司,一般會員,6000,6000,已繳,0,"TX2009 2026/03/17 6,000：公司名一致（群威電子）",,
