會員編號,公司名稱,年費,應繳期限,實際狀態（解答用）
M078,品逸醫材有限公司,6000,2026/09/10,未繳
M079,允升機械有限公司,36000,2026/08/31,重複
M080,益盛材料股份有限公司,6000,2026/07/31,已繳
M081,宇陽機械有限公司,20000,2026/08/15,已繳
M082,宏碩精密有限公司,6000,2026/07/31,短繳
M083,瑞光網路股份有限公司,6000,2026/08/31,對不上
M084,宏碩精密股份有限公司,6000,2026/08/31,重複
M085,誠展工業股份有限公司,36000,2026/06/30,未繳
M086,昇華網路有限公司,6000,2026/06/30,已繳
M087,宏碩工業有限公司,50000,2026/09/10,已繳
M088,元鴻科技有限公司,6000,2026/09/10,已繳
M089,富崴工業股份有限公司,36000,2026/08/15,未繳
M090,兆達通訊有限公司,20000,2026/08/15,未繳
M091,群威光電有限公司,36000,2026/08/15,已繳
M092,兆達系統有限公司,6000,2026/09/10,未繳
M093,益盛網路有限公司,6000,2026/08/31,已繳
M094,兆達電子股份有限公司,20000,2026/09/10,已繳
M095,廣達科技有限公司,20000,2026/08/31,對不上
M096,瑞光機械股份有限公司,50000,2026/06/30,未繳
M097,立勤醫材股份有限公司,20000,2026/06/30,對不上
M098,誠展生技股份有限公司,6000,2026/08/15,已繳
M099,中鼎醫材股份有限公司,6000,2026/08/31,未繳
M100,瑞光自動化有限公司,20000,2026/06/30,短繳
M101,宇陽生技有限公司,20000,2026/06/30,短繳
M102,中鼎工業有限公司,20000,2026/08/15,對不上
M103,元鴻材料有限公司,6000,2026/09/10,短繳
M104,永茂生技有限公司,6000,2026/02/15,久未繳
M105,世紀電子股份有限公司,20000,2026/08/15,重複
M106,東辰機械股份有限公司,6000,2026/08/31,已繳
M107,銓豐電子有限公司,36000,2026/08/15,已繳
M108,承邦半導體有限公司,6000,2026/06/30,已繳
M109,泰宇自動化有限公司,6000,2026/08/31,重複
M110,鼎宏資訊股份有限公司,6000,2026/08/15,短繳
M111,鼎宏網路股份有限公司,36000,2026/07/31,對不上
M112,廣達電子股份有限公司,6000,2026/09/10,已繳
M113,廣達生技股份有限公司,6000,2026/06/30,已繳
M114,宇陽材料股份有限公司,20000,2026/08/31,已繳
M115,永茂半導體股份有限公司,6000,2026/06/30,重複
M116,泰宇材料有限公司,6000,2026/07/31,已繳
M117,明峰電子股份有限公司,36000,2026/08/15,已繳
M118,宏碩科技有限公司,36000,2026/07/31,短繳
M119,宏碩光電有限公司,36000,2026/07/31,已繳
M120,群威電子有限公司,6000,2026/08/31,已繳
